YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1928,27.97,27.17,26.02,23.67,19.52,15.67,15.72,17.37,19.17,23.12,26.77,27.02,27.35,23.07,16.25,23.02,22.42
1929,28.72,28.97,23.67,23.87,19.47,999.90,999.90,999.90,22.31,22.72,25.22,26.32,28.24,22.34,999.90,23.42,23.02
1930,28.22,27.37,26.31,24.02,20.52,23.07,16.72,17.31,18.92,20.72,23.87,26.72,27.30,23.62,19.03,21.17,22.78
1931,27.67,27.32,24.62,20.52,15.72,13.77,17.22,18.22,17.22,22.37,22.62,27.22,27.24,20.29,16.40,20.74,21.17
1932,27.52,26.77,26.02,22.12,16.92,15.72,19.72,16.42,19.26,23.17,25.17,26.67,27.17,21.69,17.29,22.53,22.17
1933,28.02,26.82,25.77,22.57,19.81,16.22,13.26,999.90,999.90,999.90,23.67,26.52,27.17,22.72,15.13,999.90,21.71
1934,26.87,24.87,25.57,18.76,19.72,19.97,16.57,17.62,20.22,20.52,999.90,999.90,26.09,21.35,18.05,21.36,21.71
1935,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,23.67,26.87,999.90,999.90,999.90,999.90,999.90
1936,28.22,25.62,26.77,22.47,21.97,17.87,999.90,999.90,999.90,999.90,999.90,999.90,26.90,23.74,999.90,999.90,999.90
1937,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1938,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1939,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1940,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1941,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1942,27.06,27.36,24.70,22.11,16.65,13.16,13.51,19.26,19.96,22.81,25.51,26.51,26.99,21.15,15.31,22.76,21.55
1943,27.56,27.41,26.06,20.86,20.16,17.11,17.81,13.71,19.81,23.06,23.41,25.56,27.16,22.36,16.21,22.09,21.96
1944,28.20,28.61,24.11,21.31,20.01,18.65,18.36,21.46,23.16,24.66,24.06,27.76,27.46,21.81,19.49,23.96,23.18
1945,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1946,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1947,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1948,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1949,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1950,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1951,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1952,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1953,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1954,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1955,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1956,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1957,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1958,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1959,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1960,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1961,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1962,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1963,28.31,27.01,26.01,21.86,19.61,17.01,19.61,19.71,21.16,24.56,24.76,26.71,27.44,22.49,18.78,23.49,23.05
1964,27.91,27.41,25.61,22.31,20.64,14.59,14.69,17.54,19.84,20.19,23.69,25.59,27.34,22.85,15.61,21.24,21.76
1965,26.49,27.09,23.04,22.78,19.39,21.14,16.98,19.44,18.19,23.19,24.04,25.89,26.39,21.74,19.19,21.81,22.28
1966,26.94,26.03,25.44,23.74,19.79,19.34,17.89,15.89,18.79,22.84,25.94,27.19,26.29,22.99,17.71,22.52,22.38
1967,26.09,26.84,23.84,22.53,23.53,14.79,17.69,19.69,20.84,25.04,24.39,27.99,26.71,23.30,17.39,23.42,22.70
1968,27.14,26.84,25.79,19.19,999.90,18.19,18.53,18.23,18.44,23.24,27.49,27.54,27.32,20.91,18.32,23.06,22.40
1969,26.24,28.39,25.49,21.24,20.39,16.69,18.48,16.14,21.84,21.64,24.84,26.29,27.39,22.37,17.10,22.77,22.41
1970,27.69,26.89,26.53,24.44,21.04,17.44,17.44,17.39,20.39,22.74,22.34,27.44,26.96,24.00,17.42,21.82,22.55
1971,27.09,26.64,24.94,20.89,17.54,13.79,18.54,18.09,21.69,21.09,24.74,27.19,27.06,21.12,16.81,22.51,21.87
1972,27.69,27.14,25.54,20.94,22.24,21.19,16.64,16.73,21.34,21.19,23.89,25.59,27.34,22.91,18.19,22.14,22.64
1973,28.03,28.49,26.24,24.54,19.54,17.94,15.39,15.28,19.04,22.46,24.21,26.68,27.37,23.44,16.20,21.90,22.23
1974,29.85,27.01,26.06,22.73,20.35,16.29,19.73,17.16,18.73,20.67,23.91,26.57,27.85,23.05,17.73,21.10,22.43
