YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1935,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,27.64,999.90,999.90,999.90,999.90,999.90
1936,29.14,26.94,27.44,21.74,22.24,18.54,16.74,16.14,21.64,24.34,25.64,27.94,27.91,23.81,17.14,23.87,23.18
1937,28.74,27.04,25.34,20.34,18.44,19.34,18.74,21.44,20.74,22.84,26.24,28.24,27.91,21.37,19.84,23.27,23.10
1938,27.94,26.44,26.24,20.64,20.14,18.54,18.14,18.44,21.64,23.24,26.04,28.24,27.54,22.34,18.37,23.64,22.97
1939,29.84,27.54,24.64,21.34,21.44,19.84,16.64,20.74,21.14,24.64,24.14,26.24,28.54,22.47,19.07,23.31,23.35
1940,26.74,26.94,25.34,23.14,21.64,19.74,20.34,18.14,21.24,22.04,24.64,28.94,26.64,23.37,19.41,22.64,23.02
1941,28.04,25.74,24.34,24.34,20.44,17.54,18.24,20.74,17.74,24.44,24.34,26.54,27.57,23.04,18.84,22.17,22.91
1942,28.54,28.24,24.94,22.74,17.84,14.04,14.54,19.84,21.14,23.64,27.14,28.34,27.77,21.84,16.14,23.97,22.43
1943,28.64,27.74,26.44,22.54,20.64,17.34,18.54,15.44,21.54,24.54,24.64,26.94,28.24,23.21,17.11,23.57,23.03
1944,28.94,28.94,25.44,22.54,21.04,19.74,19.04,21.54,24.24,25.14,25.04,29.04,28.27,23.01,20.11,24.81,24.05
1945,29.34,27.44,25.74,24.74,19.84,16.94,18.44,24.64,22.24,26.04,25.44,27.74,28.61,23.44,20.01,24.57,24.16
1946,26.64,29.24,25.54,22.24,19.44,15.64,15.64,20.74,23.24,23.44,26.84,26.54,27.87,22.41,17.34,24.51,23.03
1947,28.14,28.14,25.84,23.14,20.34,20.14,15.64,17.34,21.04,21.94,26.04,27.04,27.61,23.11,17.71,23.01,22.86
1948,29.84,27.44,25.54,22.44,19.54,19.34,18.14,18.24,23.24,23.54,25.24,30.64,28.11,22.51,18.57,24.01,23.30
1949,28.24,27.84,27.44,22.14,20.34,18.54,18.04,19.44,20.74,21.34,27.44,28.14,28.91,23.31,18.67,23.17,23.52
1950,26.84,26.84,24.44,23.34,22.24,18.44,17.64,21.94,20.74,23.04,25.54,28.04,27.27,23.34,19.34,23.11,23.27
1951,27.94,25.34,24.64,20.24,21.54,18.74,19.74,19.54,21.94,25.24,26.54,26.93,27.11,22.14,19.34,24.57,23.29
1952,28.93,27.63,26.73,20.93,21.63,13.73,18.83,21.03,20.23,23.03,25.23,28.93,27.83,23.10,17.86,22.83,22.91
1953,28.13,27.93,27.73,22.03,20.23,18.23,13.83,23.03,24.53,22.63,26.43,29.02,28.33,23.33,18.36,24.53,23.64
1954,27.12,28.82,26.52,23.92,18.12,17.92,16.82,19.52,20.32,23.12,28.62,28.11,28.32,22.85,18.09,24.02,23.32
1955,30.21,30.51,25.01,22.81,19.11,18.81,13.51,18.91,20.71,21.61,27.01,27.91,29.61,22.31,17.08,23.11,23.03
1956,26.21,27.51,26.01,21.41,16.61,16.01,16.91,17.71,21.51,23.51,26.11,28.20,27.21,21.34,16.88,23.71,22.29
1957,26.90,26.00,27.30,21.60,22.00,17.30,15.10,19.50,18.90,25.10,26.00,28.59,27.03,23.63,17.30,23.33,22.83
1958,29.49,29.39,25.49,22.49,18.79,20.09,19.69,15.99,20.69,22.49,25.09,26.89,29.16,22.26,18.59,22.76,23.19
1959,28.19,27.99,26.89,23.49,20.29,18.49,20.19,17.69,20.89,23.69,25.39,26.58,27.69,23.56,18.79,23.32,23.34
1960,29.38,26.88,25.98,22.38,17.98,18.78,18.18,19.08,21.68,24.48,25.68,28.47,27.61,22.11,18.68,23.95,23.09
1961,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1962,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1963,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1964,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1965,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1966,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1967,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1968,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1969,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1970,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1971,27.47,26.57,24.97,21.57,18.17,15.06,19.37,18.57,22.87,21.77,25.57,26.46,26.91,21.57,17.67,23.40,22.39
1972,27.56,26.56,26.06,21.86,22.66,21.96,17.56,17.46,22.16,22.16,24.66,25.75,26.86,23.53,18.99,22.99,23.09
1973,28.50,28.55,25.90,25.31,19.92,18.92,16.15,16.25,20.05,22.75,23.45,25.55,27.60,23.71,17.11,22.08,22.63
1974,27.85,26.25,24.55,22.05,18.65,16.55,20.66,18.95,20.48,21.85,24.46,26.13,26.55,21.75,18.72,22.26,22.32
1975,26.94,27.76,25.96,23.05,19.87,19.61,16.63,18.31,20.77,22.13,23.92,26.84,26.94,22.96,18.18,22.27,22.59
1976,27.77,26.49,25.29,22.42,19.38,17.47,18.79,18.81,20.01,23.55,25.17,27.11,27.03,22.36,18.36,22.91,22.67
1977,27.02,28.77,27.19,22.94,19.98,19.67,21.55,19.31,23.94,24.99,25.45,27.58,27.63,23.37,20.18,24.79,23.99
1978,28.19,28.20,28.11,23.03,19.66,19.69,20.76,18.14,21.23,24.89,25.28,27.83,27.99,23.60,19.53,23.80,23.73
1979,29.06,27.73,24.93,21.50,18.63,17.34,17.99,21.76,19.46,24.53,24.84,27.16,28.21,21.69,19.03,22.94,22.97
